userid,reward,flip_dollars_spent,timestamp
7,Gift card,17.45,2024-04-01 09:00:00
96,Gift card,5.2,2024-01-15 22:10:00
2,Gift card,14.68,2024-01-29 19:02:00
10,Gift card,21.28,2024-06-19 12:30:00
8,Gift card,20.47,2024-06-15 21:27:00
40,Gift card,7.32,2024-01-30 22:34:00
36,Gift card,6.62,2024-06-11 03:24:00
31,Gift card,13.62,2024-04-04 02:16:00
48,Gift card,17.7,2024-04-10 07:13:00
25,Gift card,18.81,2024-01-03 10:00:00
71,Gift card,18.82,2024-02-12 00:23:00
35,Gift card,16.74,2024-06-06 21:44:00
44,Gift card,12.58,2024-02-21 06:12:00
46,Gift card,22.11,2024-03-27 09:04:00
33,Gift card,10.3,2024-03-28 19:05:00
60,Gift card,9.06,2024-06-28 16:46:00
22,Gift card,11.0,2024-05-20 13:06:00
68,Gift card,18.51,2024-01-31 07:54:00
88,Gift card,23.59,2024-05-09 15:13:00
75,Water bottle,20.46,2024-05-10 12:49:00
1,Water bottle,8.09,2024-05-22 11:44:00
14,Water bottle,12.04,2024-01-23 12:23:00
9,Water bottle,9.85,2024-03-21 23:16:00
5,Water bottle,16.5,2024-04-26 01:31:00
57,Water bottle,20.1,2024-05-02 07:02:00
92,Water bottle,10.36,2024-06-05 14:57:00
55,Water bottle,20.05,2024-06-06 08:20:00
61,Water bottle,12.58,2024-02-09 18:09:00
70,Water bottle,10.77,2024-02-08 08:11:00
18,Water bottle,13.05,2024-05-21 01:52:00
87,Water bottle,19.89,2024-05-15 21:52:00
6,Water bottle,11.16,2024-01-18 09:01:00
62,Water bottle,9.59,2024-04-14 18:13:00
51,Water bottle,9.24,2024-01-06 04:52:00
79,Water bottle,18.75,2024-03-26 15:01:00
21,Water bottle,19.32,2024-01-19 08:30:00
100,Water bottle,14.09,2024-02-19 18:03:00
89,Water bottle,12.42,2024-06-08 22:24:00
94,Notebook,11.59,2024-01-28 19:09:00
69,Notebook,20.71,2024-04-17 12:24:00
77,Notebook,5.27,2024-02-14 13:51:00
53,Notebook,8.38,2024-05-22 21:32:00
47,Notebook,5.79,2024-06-03 13:56:00
95,Notebook,24.95,2024-05-20 08:05:00
99,Notebook,15.12,2024-04-17 09:28:00
50,Notebook,6.62,2024-01-13 17:20:00
63,Notebook,22.17,2024-02-28 03:20:00
58,Notebook,5.17,2024-01-26 06:04:00
12,Notebook,14.94,2024-01-18 16:26:00
4,Notebook,23.01,2024-04-24 16:09:00
67,Book bag,17.16,2024-04-30 10:02:00
28,Book bag,7.75,2024-03-20 01:20:00
41,Book bag,5.43,2024-05-17 04:14:00
43,Book bag,19.24,2024-04-15 22:27:00
90,Book bag,20.69,2024-05-22 07:16:00
93,Book bag,15.68,2024-01-29 14:21:00
39,Book bag,22.58,2024-03-05 13:50:00
91,Book bag,21.41,2024-02-29 18:13:00
86,Book bag,10.69,2024-06-24 21:21:00
16,Book bag,10.68,2024-02-22 04:11:00
84,Book bag,5.15,2024-01-31 01:01:00
56,Book bag,14.33,2024-05-24 23:00:00
80,Book bag,15.88,2024-02-16 07:09:00
17,Book bag,8.68,2024-02-24 02:57:00
27,Book bag,5.93,2024-03-27 11:36:00
11,Book bag,20.61,2024-01-01 01:09:00
19,Book bag,16.61,2024-03-06 21:42:00
13,Book bag,6.25,2024-05-03 07:01:00
76,Book bag,6.21,2024-01-04 17:35:00
54,Book bag,7.88,2024-01-25 08:23:00
20,Book bag,17.19,2024-04-16 22:54:00
64,Book bag,21.69,2024-01-30 07:09:00
74,Book bag,22.75,2024-02-05 09:51:00
38,Book bag,9.61,2024-03-20 13:46:00
